probability_threshold,total_scenarios,triggered_scenarios,hidden_risk_detected_count,missed_worst_case_count,fallback_scenarios,mean_eligible_modes,mean_retained_probability_mass,total_unsafe_probability_mass_retained,full_distribution_unsafe_probability_mass,unsafe_probability_mass_retained_pct,total_probability_weighted_severity_retained,full_distribution_probability_weighted_severity,probability_weighted_severity_retained_pct
0.0,500,31,18,0,0,6.0,0.9999999981988553,12.412498249005239,12.412498249005239,100.0,10.222304392329523,10.222304392329523,100.0
0.001,500,29,16,2,0,5.462,0.9998655420518481,12.409216167754494,12.412498249005239,99.97355825406856,10.219391068632465,10.222304392329523,99.97150032335914
0.01,500,24,11,7,0,4.95,0.9976911206860095,12.35135320480913,12.412498249005239,99.50739131664321,10.158649061890218,10.222304392329523,99.37728981650096
0.03,500,20,7,11,0,4.508,0.989225260488689,12.144560940563679,12.412498249005239,97.84139096685848,9.96464720019178,10.222304392329523,97.47946077274827
0.05,500,19,6,12,0,4.138,0.9744199123829603,11.89971498399973,12.412498249005239,95.8688150063054,9.797842190125351,10.222304392329523,95.8476857476219
0.1,500,14,1,17,0,3.424,0.9217109179198741,10.982630155980587,12.412498249005239,88.48041655805072,8.742731063165131,10.222304392329523,85.52602943153782
0.2,500,14,1,17,0,2.246,0.7441141479313373,9.51537200808525,12.412498249005239,76.65960403134663,8.250805343179351,10.222304392329523,80.71375128851066
0.3,500,13,0,18,110,1.256,0.5025411468446255,6.260036081075668,12.412498249005239,50.43332901639974,6.422771889883919,10.222304392329523,62.83095908104001
0.5,500,13,0,18,392,1.0,0.41412517496943474,4.941583633422852,12.412498249005239,39.81135412300162,3.775003167501278,10.222304392329523,36.92908196251635
