scenario_id,target_actor_id,num_modes,top1_mode,top1_probability,top1_min_distance,worst_case_mode,worst_case_probability,worst_case_min_distance,ground_truth_min_distance,multimodal_gap,unsafe_mode_count,unsafe_probability_mass,severity_weighted_risk,top1_event,worst_case_event,ground_truth_event,mode_min_distances
00bb46d3-2f4e-4c7b-95bd-51a65ff9670e,6879,6,4,0.8744038939476013,124.35620928053011,5,4.884515146841295e-05,110.63071298556727,115.22802606426885,13.725496294962838,0,0.0,0.0,False,False,False,"[135.99809884046815, 129.56873346378038, 133.31689150087422, 119.26517226334278, 124.35620928053011, 110.63071298556727]"
00bb5f2e-c964-4fcd-9c6a-4353a7baed6e,11023,6,0,0.4842517673969269,24.042366131838932,5,0.004549666307866573,20.35152175518504,23.976760724224956,3.6908443766538923,0,0.0,0.0,False,False,False,"[24.042366131838932, 23.30043572220012, 24.034915049319267, 21.527836130346838, 22.45774147714112, 20.35152175518504]"
00bd1af3-e5a4-4042-b0dd-627f6cc66ee8,57010,6,2,0.5831213593482971,11.797183093116558,0,0.1370692104101181,10.652246023813243,11.890918049519842,1.1449370693033156,0,0.0,0.0,False,False,False,"[10.652246023813243, 11.971389488717827, 11.797183093116558, 12.726668121732475, 12.37291574959082, 12.727328509294408]"
00c1667c-0e02-44b2-8e5e-29dc81dfd323,49028,6,5,0.8027697205543518,14.260369326074274,5,0.8027697205543518,14.260369326074274,14.930215032770255,0.0,0,0.0,0.0,False,False,False,"[42.3247941298866, 23.094948909130682, 31.193728648694144, 16.21045324130807, 19.036310014960147, 14.260369326074274]"
00cf7a09-b98d-4c87-921a-830066a07100,58534,6,4,0.6075809597969055,46.46664899483678,5,0.005098140332847834,46.466622371874244,46.463884168949015,2.6622962536748673e-05,0,0.0,0.0,False,False,False,"[46.468852444197836, 46.469226564870176, 46.46768113509071, 46.466681218385155, 46.46664899483678, 46.466622371874244]"
00d95e80-1f97-48ef-8bf6-651e6c93678f,2956,6,1,0.41065260767936707,31.074101846032676,0,0.028921155259013176,31.0492777176045,31.07552353183407,0.024824128428175385,0,0.0,0.0,False,False,False,"[31.0492777176045, 31.074101846032676, 31.06553950450283, 31.079234908268123, 31.079492100961097, 31.06539535826354]"
00d9f613-2637-4665-b640-15ca2219929a,102075,6,4,0.4602537453174591,17.575652469847757,0,0.0332438200712204,17.344579071798645,17.571669276340884,0.2310733980491122,0,0.0,0.0,False,False,False,"[17.344579071798645, 17.517614363578065, 17.54539725283907, 17.537757436953413, 17.575652469847757, 17.557171403096884]"
00dd0b81-388f-40fd-a8f5-82d05d566cf5,46248,6,4,0.36065948009490967,14.680958342173563,1,0.23787176609039307,14.680287148869857,14.679854547624938,0.0006711933037060192,0,0.0,0.0,False,False,False,"[14.680299496506079, 14.680287148869857, 14.682227319383266, 14.681685796417995, 14.680958342173563, 14.682265050056971]"
00ddb469-aea8-443b-a4f9-a5acff486b77,95081,6,0,0.9565418362617493,9.105117053199468,0,0.9565418362617493,9.105117053199468,9.0975369455435,0.0,0,0.0,0.0,False,False,False,"[9.105117053199468, 9.110011029695114, 9.113218501856453, 9.115856653939218, 9.11241491200186, 9.11927565419322]"
00de80df-9dfe-4ef7-a17f-7855caf9878f,34505,6,4,0.2986343502998352,20.53536385352703,1,0.19628137350082397,19.56437352383165,20.00139052280836,0.970990329695379,0,0.0,0.0,False,False,False,"[21.74916144274107, 19.56437352383165, 19.836222301390258, 19.62799111315902, 20.53536385352703, 19.66745686096958]"
00e14259-7419-4f92-9699-835bc4f62536,40102,6,4,0.7530432939529419,80.50449772562473,0,0.0009728004224598408,75.45692761988701,80.53266765344394,5.047570105737719,0,0.0,0.0,False,False,False,"[75.45692761988701, 80.50429295718101, 78.57815137073077, 80.50823176958242, 80.50449772562473, 80.51172139489498]"
00e194d5-57e3-4cd5-ba8d-61f89acea8c1,19244,6,2,0.2959243059158325,21.204975557022117,2,0.2959243059158325,21.204975557022117,21.208882377732127,0.0,0,0.0,0.0,False,False,False,"[21.20638573478398, 21.20615107079956, 21.204975557022117, 21.211383210645472, 21.208971369365713, 21.211769962358076]"
00e21119-f350-4664-b77e-18823533a1a6,20927,6,0,0.39399197697639465,44.40369761368618,0,0.39399197697639465,44.40369761368618,54.94019160456171,0.0,0,0.0,0.0,False,False,False,"[44.40369761368618, 53.769534610792526, 50.319272569459926, 60.16645261351664, 56.94735690579846, 65.19090986123562]"
00e2cd17-25bc-42f2-8f33-17ae24d17a5f,66170,6,1,0.301880806684494,3.037804988180369,3,0.14127850532531738,2.8678147282154764,2.9413048978773646,0.1699902599648926,4,0.41513559012673795,0.04308618245708568,False,True,True,"[2.911844508856217, 3.037804988180369, 3.043880820547281, 2.8678147282154764, 2.913871311430548, 2.869561275550462]"
00e452e1-1a79-4327-abb2-fbbe0097b1b5,57984,6,2,0.7565736770629883,26.600502393131922,5,7.167085277615115e-05,17.22523442315263,25.951720760837183,9.37526796997929,0,0.0,0.0,False,False,False,"[29.663933426229825, 24.93723951439107, 26.600502393131922, 19.58068916385248, 21.83236401931054, 17.22523442315263]"
00e988db-319b-45b1-b16d-ccbbeaeb07cc,121659,6,1,0.3607899248600006,19.080899521784556,5,0.004169276915490627,16.713203345153946,18.434368709550537,2.3676961766306093,0,0.0,0.0,False,False,False,"[19.5904973562387, 19.080899521784556, 19.378258291494937, 19.639519114215556, 19.51877754335767, 16.713203345153946]"
00ea15e0-d833-4d56-8b67-c640fefc81ee,153419,6,2,0.3307942748069763,31.68439636541322,5,0.0001662385620875284,31.65358939221381,31.695160183262594,0.030806973199410947,0,0.0,0.0,False,False,False,"[31.68625775561578, 31.67798718923634, 31.68439636541322, 31.670075849652232, 31.672859633489434, 31.65358939221381]"
00eb04c6-a59e-4ff4-9d26-325b629b212b,25265,6,1,0.40435513854026794,17.42634904873183,2,0.2898365259170532,17.425877933542896,17.420274840761028,0.00047111518893316884,0,0.0,0.0,False,False,False,"[17.428757298423324, 17.42634904873183, 17.425877933542896, 17.43234953854617, 17.428652477545757, 17.43062906065656]"
00eb27a5-f716-4f7f-a877-113550040df3,132244,6,5,0.4830832779407501,6.276276992142647,1,8.853456529323012e-05,6.241604207206601,6.275115742318885,0.03467278493604642,0,0.0,0.0,False,False,False,"[6.2579933466597835, 6.241604207206601, 6.2458135185336685, 6.264663509549974, 6.26322215160511, 6.276276992142647]"
