policy_family,policy_name,policy_parameter,parameter_value,total_scenarios,realized_positive_events,total_interventions,intervention_rate,true_positives,false_positives,extra_interventions,false_negatives,true_negatives,realized_event_recall,realized_event_precision,false_positive_rate,f1
risk_score,expected_loss,eta,0.0858099290785286,500,8,9,0.018,3,6,6,5,486,0.375,0.3333333333333333,0.012195121951219513,0.35294117647058826
risk_score,expected_loss,eta,0.0892658412344312,500,8,8,0.016,3,5,5,5,487,0.375,0.375,0.01016260162601626,0.375
risk_score,expected_loss,eta,0.09,500,8,7,0.014,2,5,5,6,487,0.25,0.2857142857142857,0.01016260162601626,0.26666666666666666
risk_score,expected_loss,eta,0.1,500,8,7,0.014,2,5,5,6,487,0.25,0.2857142857142857,0.01016260162601626,0.26666666666666666
risk_score,expected_loss,eta,0.11865040521441239,500,8,7,0.014,2,5,5,6,487,0.25,0.2857142857142857,0.01016260162601626,0.26666666666666666
risk_score,expected_loss,eta,0.125,500,8,6,0.012,2,4,4,6,488,0.25,0.3333333333333333,0.008130081300813009,0.28571428571428575
risk_score,expected_loss,eta,0.12651172492824736,500,8,6,0.012,2,4,4,6,488,0.25,0.3333333333333333,0.008130081300813009,0.28571428571428575
risk_score,expected_loss,eta,0.13170926362515945,500,8,5,0.01,1,4,4,7,488,0.125,0.2,0.008130081300813009,0.15384615384615385
risk_score,expected_loss,eta,0.15,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.175,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.2,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.225,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.25,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.275,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.3,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.325,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.35,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.375,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.4,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.40871339579476645,500,8,4,0.008,1,3,3,7,489,0.125,0.25,0.006097560975609756,0.16666666666666666
risk_score,expected_loss,eta,0.425,500,8,3,0.006,0,3,3,8,489,0.0,0.0,0.006097560975609756,0.0
risk_score,expected_loss,eta,0.4355538175537233,500,8,3,0.006,0,3,3,8,489,0.0,0.0,0.006097560975609756,0.0
risk_score,expected_loss,eta,0.45,500,8,2,0.004,0,2,2,8,490,0.0,0.0,0.0040650406504065045,0.0
risk_score,expected_loss,eta,0.475,500,8,2,0.004,0,2,2,8,490,0.0,0.0,0.0040650406504065045,0.0
risk_score,expected_loss,eta,0.5,500,8,2,0.004,0,2,2,8,490,0.0,0.0,0.0040650406504065045,0.0
risk_score,expected_loss,eta,0.55,500,8,2,0.004,0,2,2,8,490,0.0,0.0,0.0040650406504065045,0.0
risk_score,expected_loss,eta,0.6,500,8,2,0.004,0,2,2,8,490,0.0,0.0,0.0040650406504065045,0.0
risk_score,expected_loss,eta,0.65,500,8,2,0.004,0,2,2,8,490,0.0,0.0,0.0040650406504065045,0.0
risk_score,expected_loss,eta,0.6534846916610451,500,8,2,0.004,0,2,2,8,490,0.0,0.0,0.0040650406504065045,0.0
risk_score,expected_loss,eta,0.7,500,8,1,0.002,0,1,1,8,491,0.0,0.0,0.0020325203252032522,0.0
risk_score,expected_loss,eta,0.75,500,8,1,0.002,0,1,1,8,491,0.0,0.0,0.0020325203252032522,0.0
risk_score,expected_loss,eta,0.8,500,8,1,0.002,0,1,1,8,491,0.0,0.0,0.0020325203252032522,0.0
risk_score,expected_loss,eta,0.85,500,8,1,0.002,0,1,1,8,491,0.0,0.0,0.0020325203252032522,0.0
risk_score,expected_loss,eta,0.9,500,8,1,0.002,0,1,1,8,491,0.0,0.0,0.0020325203252032522,0.0
risk_score,expected_loss,eta,0.9130424244217585,500,8,1,0.002,0,1,1,8,491,0.0,0.0,0.0020325203252032522,0.0
risk_score,expected_loss,eta,0.9130424244217586,500,8,0,0.0,0,0,0,8,492,0.0,0.0,0.0,0.0
risk_score,expected_loss,eta,0.95,500,8,0,0.0,0,0,0,8,492,0.0,0.0,0.0,0.0
risk_score,expected_loss,eta,1.0,500,8,0,0.0,0,0,0,8,492,0.0,0.0,0.0,0.0
