probability_threshold,total_scenarios,triggered_scenarios,hidden_risk_detected_count,missed_worst_case_count,fallback_scenarios,mean_eligible_modes,mean_retained_probability_mass,total_unsafe_probability_mass_retained,full_distribution_unsafe_probability_mass,unsafe_probability_mass_retained_pct,total_probability_weighted_severity_retained,full_distribution_probability_weighted_severity,probability_weighted_severity_retained_pct,total_expected_normalized_deficit_retained,full_distribution_expected_normalized_deficit,expected_normalized_deficit_retained_pct
0.0,10000,558,333,0,0,6.0,1.0000000004738887,238.49198827715173,238.49198827715173,100.0,129.71383479664712,129.71383479664712,100.0,43.237944932215704,43.237944932215704,100.0
0.001,10000,515,290,43,0,5.5597,0.9998961712805438,238.45569374773186,238.49198827715173,99.98478165674157,129.67239610897178,129.71383479664712,99.96805376408747,43.22413203632393,43.237944932215704,99.96805376408747
0.01,10000,451,226,107,0,5.0516,0.9975738616544754,237.61796621978283,238.49198827715173,99.63352141777057,128.8869240582366,129.71383479664712,99.36251153186019,42.9623080194122,43.237944932215704,99.36251153186019
0.03,10000,398,173,160,0,4.5496,0.9880054287601262,234.5522758103907,238.49198827715173,98.34807345302406,126.07023636244534,129.71383479664712,97.19104871125438,42.02341212081512,43.237944932215704,97.19104871125438
0.05,10000,374,149,184,0,4.194,0.9739516974750906,230.20397219061852,238.49198827715173,96.52482410566274,122.07536844913363,129.71383479664712,94.11129401926298,40.691789483044545,43.237944932215704,94.11129401926298
0.1,10000,330,105,228,0,3.4699,0.9203353185087443,216.65978615731,238.49198827715173,90.84572933558233,114.90074906460416,129.71383479664712,88.58018055262532,38.30024968820138,43.237944932215704,88.58018055262532
0.2,10000,282,57,276,18,2.2393,0.735924358522892,170.6153111755848,238.49198827715173,71.53922125774415,89.81680029304832,129.71383479664712,69.24226736018903,29.938933431016107,43.237944932215704,69.24226736018903
0.3,10000,237,12,321,2399,1.2684,0.4993438521414995,112.35780261456966,238.49198827715173,47.11177236025161,59.63907235925399,129.71383479664712,45.97741825515404,19.879690786417996,43.237944932215704,45.97741825515404
0.5,10000,225,0,333,8040,1.0,0.40695219711959363,92.5850802809,238.49198827715173,38.82104424124588,49.52161718910163,129.71383479664712,38.17759089979636,16.507205729700544,43.237944932215704,38.17759089979636
