scenario_id,target_actor_id,num_modes,top1_mode,top1_probability,top1_min_distance,worst_case_mode,worst_case_probability,worst_case_min_distance,ground_truth_min_distance,multimodal_gap,unsafe_mode_count,unsafe_probability_mass,severity_weighted_risk,top1_event,worst_case_event,ground_truth_event,expected_distance_deficit_risk,mode_min_distances
cb27a88c-384a-4efd-b1ed-157cd86eecda,165191,6,4,0.5099299550056458,32.27897784972004,5,0.006121374201029539,32.27748749227878,32.28274103381565,0.0014903574412628018,0,0.0,0.0,False,False,False,0.0,"[32.28309924848751, 32.277646498716386, 32.279506000726094, 32.279125332243076, 32.27897784972004, 32.27748749227878]"
cb2f6273-aa5e-4f50-820d-9c1dbe891e18,262545,6,1,0.332099974155426,14.52041815503599,0,0.013332702219486237,14.51729925893987,14.508302708177185,0.0031188960961205936,0,0.0,0.0,False,False,False,0.0,"[14.51729925893987, 14.52041815503599, 14.520224094441158, 14.523930609479914, 14.522696917750341, 14.523883615253983]"
cb37d3c3-441f-45c3-8368-76cc70566750,86890,6,4,0.2957988977432251,30.684823628444068,0,0.006758705712854862,24.118027702712496,37.21649072526679,6.566795925731572,0,0.0,0.0,False,False,False,0.0,"[24.118027702712496, 29.362768527336602, 27.385572566613142, 32.246237360916375, 30.684823628444068, 33.940559810629914]"
cb384301-f5d1-4a8e-a35d-573519b8aeb4,91830,6,1,0.4094800353050232,22.20790447516194,1,0.4094800353050232,22.20790447516194,22.31329308973277,0.0,0,0.0,0.0,False,False,False,0.0,"[22.216012429022886, 22.20790447516194, 22.21008619100726, 22.212633647004953, 22.20868064212068, 22.20973536795293]"
cb430e08-302f-48d4-b574-9c9dada22f0b,55031,6,4,0.27886712551116943,35.49672958259608,5,0.03660966828465462,35.493399053371135,35.495045102903944,0.003330529224946588,0,0.0,0.0,False,False,False,0.0,"[35.50622156605709, 35.498189886715444, 35.50307677344361, 35.49671037721246, 35.49672958259608, 35.493399053371135]"
cb44804a-5c3e-4ee0-ad5e-e6d45e1723fb,19405,6,3,0.30846595764160156,10.658590121353539,0,0.0037851135712116957,8.914545903860361,9.185221662853815,1.7440442174931778,0,0.0,0.0,False,False,False,0.0,"[8.914545903860361, 9.90604890448525, 9.429820827783628, 10.658590121353539, 10.270702212776182, 11.326572309829983]"
cb4b5ca9-23c1-4313-8cd8-95a7a6f57aec,128334,6,3,0.3072949945926666,12.58478574023297,5,0.13938964903354645,12.563175466156288,12.5846378690188,0.021610274076682146,0,0.0,0.0,False,False,False,0.0,"[12.584945169709677, 12.586541055554786, 12.58469609283592, 12.58478574023297, 12.585386497422668, 12.563175466156288]"
cb674509-8379-40de-8613-2fc26c00c538,246942,6,2,0.40908974409103394,27.724910379450687,0,0.08861324191093445,27.69554169752357,27.730176061119224,0.02936868192711728,0,0.0,0.0,False,False,False,0.0,"[27.69554169752357, 27.71156281648142, 27.724910379450687, 27.722690119728703, 27.73690463343267, 27.730749573019814]"
cb6c8eb0-ccbc-4dc0-9c92-959222a37f68,89911,6,1,0.512573778629303,12.270903070724792,5,0.0013466168893501163,6.441569200757628,10.195394518431899,5.829333869967164,0,0.0,0.0,False,False,False,0.0,"[19.07341715024772, 12.270903070724792, 14.008583011167135, 8.798302190761566, 10.44433744948794, 6.441569200757628]"
cb73678f-0240-421d-89fa-6e617fe1ae71,75100,6,1,0.2874257266521454,3.9531842329088334,5,0.028564108535647392,3.1717906057471112,3.6111167404342854,0.7813936271617221,0,0.0,0.0,False,False,False,0.0,"[4.438978593591206, 3.9531842329088334, 4.243477205545408, 3.2573372565139924, 3.5409789969837546, 3.1717906057471112]"
cb7511c6-33ae-40f9-b58f-9e3d2eef3802,16601,6,5,0.6878633499145508,10.450090193017022,0,1.399331353013622e-07,6.740439430374135,10.410827053995106,3.7096507626428874,0,0.0,0.0,False,False,False,0.0,"[6.740439430374135, 10.420515783915096, 10.459001862042053, 10.460926221139196, 10.435850004448222, 10.450090193017022]"
cb7df7b7-4b3e-4cf5-a582-d757e9b056ac,28993,6,1,0.2594223618507385,18.0634116714895,1,0.2594223618507385,18.0634116714895,18.05860503029476,0.0,0,0.0,0.0,False,False,False,0.0,"[18.07288831773636, 18.0634116714895, 18.066934952294147, 18.06543640832762, 18.06422019847096, 18.064892132382543]"
cb844f69-6517-4d2c-875a-bd5f17ae939f,1941,6,3,0.3179190456867218,43.39670458337354,0,0.00022810172231402248,43.34659955394618,43.54216929271869,0.050105029427363945,0,0.0,0.0,False,False,False,0.0,"[43.34659955394618, 43.37577892574236, 43.37825428740284, 43.39670458337354, 43.384497320075134, 43.41489941399716]"
cb8632e7-2a76-433c-9be8-4870653e1569,15869,6,4,0.24446018040180206,18.911446544468795,1,0.2399689257144928,18.91071887362306,18.9089279169864,0.0007276708457339964,0,0.0,0.0,False,False,False,0.0,"[18.91079528806812, 18.91071887362306, 18.91083847711176, 18.91315113725492, 18.911446544468795, 18.912969221230753]"
cb9a538b-ddda-4363-afa8-9e086ddc95e0,74734,6,4,0.3490748703479767,29.55858971802553,5,0.022202160209417343,22.67148303843951,32.382489828899566,6.887106679586019,0,0.0,0.0,False,False,False,0.0,"[37.6217219839736, 32.02740249094512, 35.45728889394629, 26.68596447791898, 29.55858971802553, 22.67148303843951]"
cba79f42-54c9-45c1-a2b3-d3b140446582,18460,6,4,0.22758592665195465,36.674403236740524,2,0.19282947480678558,36.67244983193314,36.66650109174671,0.001953404807380821,0,0.0,0.0,False,False,False,0.0,"[36.67567900101912, 36.672989177397405, 36.67244983193314, 36.67833289284709, 36.674403236740524, 36.68073996454809]"
cba86a58-c01b-481d-99f2-8c8082d509c4,173855,6,1,0.2505147457122803,17.36071880096138,3,0.17482762038707733,17.357553282281412,17.370932301967056,0.003165518679967505,0,0.0,0.0,False,False,False,0.0,"[17.363193701940663, 17.36071880096138, 17.362299607744617, 17.357553282281412, 17.35970569447117, 17.358677574735463]"
cbaba293-8eae-40ef-9db4-16907b8d5d6e,72083,6,4,0.3600725829601288,23.791001615120095,0,0.00787406601011753,23.727266902220734,23.927874948251976,0.06373471289936106,0,0.0,0.0,False,False,False,0.0,"[23.727266902220734, 23.78031328539541, 23.78044247854051, 23.784269215167242, 23.791001615120095, 23.789443672270878]"
